gamename,pop,ip,agent,duration,cluster,client_id
ale-alg,riomp,129.222.62.112,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,2548,2,8420223
ale-alg,riomp,139.82.1.30,6a1661efe3c936b49a6eb0b7dfec8b1990904244,532,1,642346
ale-alg,riomp,139.82.103.17,aa739e3aaaa1fbfc8667bb26120e9930df881a82,2604,1,2373086
ale-alg,riomp,139.82.103.38,aa739e3aaaa1fbfc8667bb26120e9930df881a82,3232,1,5760938
ale-alg,riomp,139.82.107.215,a9660bb0ff694424cb86b10498a28bebfb050c73,1485,1,2035509
ale-alg,riomp,139.82.107.234,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,14,4,2216164
ale-alg,riomp,139.82.111.62,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,4033,2,5424398
ale-alg,riomp,139.82.111.62,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,1250,2,5424398
ale-alg,riomp,139.82.111.62,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,890,2,5424398
ale-alg,riomp,139.82.204.51,ae673b88a9a85c89f8e86d122fb0cae345e89777,771,2,1016746
ale-alg,riomp,139.82.204.51,ae673b88a9a85c89f8e86d122fb0cae345e89777,383,2,1016746
ale-alg,riomp,139.82.242.70,aa87592de48db2e60a492d3089d976823cfcd49c,320,2,6011513
ale-alg,riomp,139.82.249.10,8bc0ab73fa7f0980b3ed06301a25aaa6281eeacd,35,2,2517279
ale-alg,riomp,139.82.249.129,894af19d7638770229799ae0b5cb49e0cc462309,764,4,4207593
ale-alg,riomp,139.82.51.101,bcecac675ccbda64625a8b3147c12ef17c003c11,570,2,7861741
ale-alg,riomp,139.82.51.101,bcecac675ccbda64625a8b3147c12ef17c003c11,825,2,7861741
ale-alg,riomp,139.82.51.101,bcecac675ccbda64625a8b3147c12ef17c003c11,162,2,7861741
ale-alg,riomp,139.82.86.12,ae673b88a9a85c89f8e86d122fb0cae345e89777,181,2,4377949
ale-alg,riomp,139.82.86.12,ae673b88a9a85c89f8e86d122fb0cae345e89777,1279,2,4377949
ale-alg,riomp,139.82.86.2,40111fb86247032d0422c35e58c32ab3d02bbafb,16,1,6930455
ale-alg,riomp,139.82.86.20,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,142,2,7291413
ale-alg,riomp,139.82.86.20,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,34,2,7291413
ale-alg,riomp,139.82.86.20,e90c3c5decc9950ba22487b8eb20e8abaee2905e,5454,2,374695
ale-alg,riomp,139.82.86.20,e90c3c5decc9950ba22487b8eb20e8abaee2905e,1467,2,374695
ale-alg,riomp,146.134.13.50,24ef882f1152e03c0b494b9d9ae53f4b315e2397,107,2,4314435
ale-alg,riomp,146.134.13.50,24ef882f1152e03c0b494b9d9ae53f4b315e2397,159,2,4314435
ale-alg,riomp,146.134.13.50,24ef882f1152e03c0b494b9d9ae53f4b315e2397,95,2,4314435
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,74,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,270,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,14,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,122,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,71,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,189,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,16,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,160,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,17,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,23,2,2282198
ale-alg,riomp,146.134.54.216,c0236d31153b6421284a662ed5ad11fb2d50db0f,44,2,2282198
ale-alg,riomp,146.164.124.207,aa739e3aaaa1fbfc8667bb26120e9930df881a82,2151,1,2959864
ale-alg,riomp,146.164.130.6,edd71802b12c7171623f7c88c0093d8887e42f21,23,2,2484864
ale-alg,riomp,146.164.20.10,42c0f3ec36c50316595b48f030ecd30631f7da5f,3450,4,8560650
ale-alg,riomp,146.164.21.7,5384a8df7b1724880dcd2196684de136282c1954,93,2,7823417
ale-alg,riomp,146.164.21.7,92564fd952768c2a3f596da6b53b30feaa4d7f4e,108,2,4397633
ale-alg,riomp,146.164.251.190,a9660bb0ff694424cb86b10498a28bebfb050c73,3403,7,6452074
ale-alg,riomp,146.164.26.17,894af19d7638770229799ae0b5cb49e0cc462309,3012,6,2217842
ale-alg,riomp,146.164.26.17,894af19d7638770229799ae0b5cb49e0cc462309,6278,6,2217842
ale-alg,riomp,146.164.26.46,11e6ce2677ae6ecde22e160e5949ce4fd937288f,427,2,8619213
