gamename,pop,ip,agent,qtd,cluster,client_id
ira-nig,riomp,179.189.52.244,894af19d7638770229799ae0b5cb49e0cc462309,1,7,1
hol-mex,riomp,191.247.226.149,2be06047367a57f3eed7ede9a7b5b1bba4c57a88,1,2,2
aus-hol,spomp,186.215.58.103,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,4,3
ira-nig,riomp,177.185.2.20,7a64caf6773dcbd199be33c22dbd30bd37f7a372,3,3,4
bel-alg,riomp,186.221.185.216,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,5
nig-arg_bos-ira,riomp,186.207.69.90,4333488ba798b74ec37051100efa275682d92d1c,1,2,6
spa-hol,riomp,179.222.111.182,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,7
ita-cri,spomp,177.159.127.196,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,8
bel-rus,spomp,186.216.149.90,717fa8fdd171ac13c36304af1d615ee3c321e3ff,2,3,9
sui-fra,riomp,200.129.179.17,7a6ea9f61bf602d6fe98d83e821c6200081c5e66,1,1,10
eng-ita,spomp,189.41.63.224,b2990bfa9e15fd2cc5b915281845342748fdabae,2,3,11
sui-fra,spomp,177.139.194.213,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,12
mex-cam,spomp,186.231.97.38,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,13
mar-jap,spomp,201.10.68.112,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,14
aus-hol,riomp,186.226.176.122,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,15
mex-cam,spomp,177.32.241.100,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,6,16
cam-bra_cro-mex,spomp,201.95.201.212,98baa0ff56188180d72003c664d3928a2c4c3118,1,4,17
aus-hol,riomp,201.49.159.68,4991a63a755c0a1f2acd6ac162d06058945efe42,2,6,18
spa-chi,spomp,179.179.172.253,894af19d7638770229799ae0b5cb49e0cc462309,2,3,19
spa-hol,spomp,189.41.70.98,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,4,20
mex-cam,riomp,177.99.5.167,7a6ea9f61bf602d6fe98d83e821c6200081c5e66,2,6,21
cri-ing_ita-uru,spomp,179.208.117.91,37bdd4012d6928efb02528d6cb46db9af5f244f0,1,2,22
aus-hol,spomp,186.213.16.35,b2990bfa9e15fd2cc5b915281845342748fdabae,4,6,23
spa-hol,riomp,187.14.212.176,c0236d31153b6421284a662ed5ad11fb2d50db0f,5,2,24
usa-por,spomp,200.103.130.17,894af19d7638770229799ae0b5cb49e0cc462309,2,3,25
aus-hol,spomp,177.40.2.118,894af19d7638770229799ae0b5cb49e0cc462309,4,3,26
bra-cro,spomp,200.140.95.130,219460d9be7caff720d11a53a01f58926d706c0c,2,3,27
ira-nig,riomp,177.192.100.214,a14c294e78da47b05b0f83156e6f72af0c4e26c1,2,2,28
aus-hol,spomp,186.233.152.13,894af19d7638770229799ae0b5cb49e0cc462309,1,7,29
spa-hol,riomp,143.54.102.69,39af37d86a703ef1ca43a29654a6a561b2eaccc1,1,7,30
bra-mex,spomp,201.35.91.238,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,4,31
spa-hol,spomp,201.40.144.227,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,32
aus-spa_hol-chi,riomp,179.235.238.55,7e59df8b3d2e55069406031c25610a99ac9401fa,3,6,33
mex-cam,riomp,189.32.130.98,38603bb00d1ec09f77f331dc60e73ffc723ef276,4,3,34
ira-nig,spomp,189.75.179.75,a936c3fd790a33121ce9c2e91bb5d95dad0d32c1,1,1,35
arg-bos,riomp,187.19.116.245,894af19d7638770229799ae0b5cb49e0cc462309,1,4,36
aus-spa_hol-chi,riomp,201.59.0.90,219460d9be7caff720d11a53a01f58926d706c0c,1,1,37
mex-cam,spomp,187.57.26.151,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,1,38
jap-gre,spomp,201.15.26.159,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,39
ger-por,riomp,177.182.99.167,b2990bfa9e15fd2cc5b915281845342748fdabae,1,5,40
spa-hol,spomp,177.19.226.158,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,3,3,41
cam-cro,riomp,177.17.70.130,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,42
mex-cam,spomp,189.11.243.91,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,7,43
uru-ing,riomp,201.9.76.141,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,44
col-mar,spomp,177.9.70.155,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,45
spa-hol,spomp,186.204.148.79,fcd0be4a6029b4751178c9e09eb82b9c2d4346ff,2,6,46
aus-spa_hol-chi,spomp,187.11.248.252,894af19d7638770229799ae0b5cb49e0cc462309,1,4,47
rus-sko,spomp,177.138.68.36,1d3533473747867f5ae2e667e469e9838feaeff0,1,4,48
cam-bra_cro-mex,spomp,177.3.251.167,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,2,6,49
gha-usa,spomp,177.132.69.67,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,50
spa-hol,spomp,189.62.193.208,856961a82bc9253f227d24b1522d9b298961c2b6,1,4,51
